run, id, cycles, Branch direction mis, Branch target mis, Correct
26, 16, 74901, 313, 44, TRUE

26, 17, 74620, 313, 45, TRUE

26, 18, 74901, 313, 44, TRUE

26, 19, 77309, 313, 45, TRUE

27, 0, 388463, 328, 58, TRUE

27, 1, 74651, 318, 52, TRUE

27, 2, 74911, 315, 46, TRUE

27, 3, 77309, 313, 45, TRUE

27, 4, 74901, 313, 44, TRUE

27, 5, 74620, 313, 45, TRUE

27, 6, 74901, 313, 44, TRUE

27, 7, 77309, 313, 45, TRUE

27, 8, 74901, 313, 44, TRUE

27, 9, 74620, 313, 45, TRUE

27, 10, 74901, 313, 44, TRUE

27, 11, 77309, 313, 45, TRUE

27, 12, 74901, 313, 44, TRUE

27, 13, 74620, 313, 45, TRUE

27, 14, 74901, 313, 44, TRUE

27, 15, 77309, 313, 45, TRUE

27, 16, 74901, 313, 44, TRUE

27, 17, 74620, 313, 45, TRUE

27, 18, 74901, 313, 44, TRUE

27, 19, 77309, 313, 45, TRUE

28, 0, 388532, 328, 82, TRUE

28, 1, 74678, 319, 58, TRUE

28, 2, 74932, 315, 54, TRUE

28, 3, 77351, 313, 61, TRUE

28, 4, 74922, 313, 53, TRUE

28, 5, 74662, 313, 61, TRUE

28, 6, 74922, 313, 53, TRUE

28, 7, 77351, 313, 61, TRUE

28, 8, 74922, 313, 53, TRUE

28, 9, 74662, 313, 61, TRUE

28, 10, 74922, 313, 53, TRUE

28, 11, 77351, 313, 61, TRUE

28, 12, 74922, 313, 53, TRUE

28, 13, 74662, 313, 61, TRUE

28, 14, 74922, 313, 53, TRUE

28, 15, 77351, 313, 61, TRUE

28, 16, 74922, 313, 53, TRUE

28, 17, 74662, 313, 61, TRUE

28, 18, 74922, 313, 53, TRUE

28, 19, 77351, 313, 61, TRUE

29, 0, 388469, 330, 58, TRUE

29, 1, 74651, 318, 52, TRUE

